#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-05-30-15-39-33
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1499169223.076809	Cw8x663p2bi718hpac	fe80::266e:96ff:fe4a:377a	8612	ff02::1	8612	bad_UDP_checksum	-	F	zeek	UDP
1499169444.205254	CO7BtG28wz2k7cSOK4	192.168.10.14	49585	192.168.10.3	53	DNS_unknown_opcode	5	F	zeek	DNS
1499169462.082504	CPndo523q9bqoniB4h	192.168.10.9	1041	192.168.10.3	49666	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169468.169512	Chs4YDzuu46SoEcU6	192.168.10.12	37272	192.168.10.3	389	bad_TCP_checksum	-	F	zeek	TCP
1499169468.285613	-	192.168.10.12	0	192.168.10.3	0	fragment_overlap	-	F	zeek	-
1499169482.006810	C3oL9B3U8Geo6Fvl0f	192.168.10.5	49158	192.168.10.3	49671	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169482.036691	CEQEQZ1R9WjXhdt3N1	192.168.10.5	49159	192.168.10.3	445	active_connection_reuse	-	F	zeek	TCP
1499169482.036718	Cpmjxi2JQ2ftD1DSIi	192.168.10.5	49159	192.168.10.3	445	TCP_ack_underflow_or_misorder	-	F	zeek	TCP
1499169486.293980	CgOjKunOOupsyzS46	192.168.10.5	49168	192.168.10.3	49666	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169489.491111	CDJEeD3N9Y2pAw8gf	192.168.10.16	58888	192.168.10.3	389	bad_TCP_checksum	-	F	zeek	TCP
1499169489.604521	-	192.168.10.16	0	192.168.10.3	0	fragment_overlap	-	F	zeek	-
1499169489.618331	CqIqQ83pQvjhBDM9i9	192.168.10.5	54772	192.168.10.3	53	DNS_unknown_opcode	5	F	zeek	DNS
1499169489.620324	COglr7h9Ult0RFi5e	192.168.10.5	63298	192.168.10.3	53	DNS_unknown_opcode	5	F	zeek	DNS
1499169497.142500	CvvH1j3cKIPFuclwik	192.168.10.8	49183	192.168.10.3	49666	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169509.933612	CT76Uq3WMQ02fThS3j	192.168.10.51	58591	192.168.10.3	389	bad_TCP_checksum	-	F	zeek	TCP
1499169595.238457	CVT6Jn3uYbgc8HW3Gb	192.168.10.51	53071	178.255.83.1	80	possible_split_routing	-	F	zeek	-
1499169687.830137	Cd6QPp1wwCXDJFaBk2	192.168.10.9	1093	136.179.236.72	443	possible_split_routing	-	F	zeek	-
1499169687.944235	Cj9tAWmQXzirMG5ud	192.168.10.9	1073	136.179.236.72	443	window_recision	-	F	zeek	-
1499169697.375606	CaFYbP0fT9Vz0u091	192.168.10.9	1181	152.163.50.2	443	window_recision	-	F	zeek	-
1499169698.548426	C6UfkI2OlOA9rfqwv2	192.168.10.9	1243	104.88.14.9	443	possible_split_routing	-	F	zeek	-
1499169700.774845	CRW4nd24BfESyxmPS9	192.168.10.9	1281	192.82.242.50	443	window_recision	-	F	zeek	-
1499169701.077201	CuOfcc2hjSSR5l4bXc	192.168.10.9	1285	152.163.56.2	443	window_recision	-	F	zeek	-
1499169704.245031	C3kqEI3jBgtKdcTD9j	192.168.10.9	1328	192.168.10.3	49666	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169710.609301	CiJGHq3m2lml8d6gf5	192.168.10.9	1407	23.23.243.116	443	possible_split_routing	-	F	zeek	-
1499169713.063286	CVKXpyOCEkEpZuHDj	192.168.10.9	1453	207.171.14.249	443	window_recision	-	F	zeek	-
1499169715.825537	CcXOvD19PEmtAs8XNh	192.168.10.9	1534	23.50.75.27	80	possible_split_routing	-	F	zeek	-
1499169717.032342	CYIekKlau39pjRF2l	192.168.10.9	1554	72.167.239.239	80	possible_split_routing	-	F	zeek	-
1499169718.215407	CVsMr14JIPOQeJq3P8	192.168.10.9	1340	64.12.245.38	443	window_recision	-	F	zeek	-
1499169720.013196	CaTgmoy9YCcu8k7Td	192.168.10.25	49153	192.168.10.3	389	bad_TCP_checksum	-	F	zeek	TCP
1499169732.636836	Caz9P4KyK9IH1zt34	192.168.10.9	1628	192.168.10.3	49666	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169739.269827	Cmn1RE16a2TUuqJSMf	192.168.10.25	49162	192.168.10.50	139	possible_split_routing	-	F	zeek	-
1499169982.405583	CzdbLp48uMouzelfHj	192.168.10.14	49516	104.28.12.116	80	inflate_failed	-	F	zeek	ZIP
1499169984.086661	CmeYXf12dLTH4G0ujf	192.168.10.14	49572	104.28.12.116	80	inflate_failed	-	F	zeek	ZIP
1499169984.160224	COw1Tf10sVXR0A2t8k	192.168.10.14	49571	172.217.12.202	80	inflate_failed	-	F	zeek	ZIP
1499169984.303075	CuL02M9haymTYegB3	192.168.10.14	49540	192.229.163.25	80	inflate_failed	-	F	zeek	ZIP
1499169985.799614	CqhQ4C27wQ2JvzDkd6	192.168.10.14	49580	206.54.163.50	80	inflate_failed	-	F	zeek	ZIP
1499169999.508331	C1eRtn1s8OvFVdoG6	192.168.10.5	49198	192.168.10.3	49671	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499170087.217573	C2rKC03CQ476bcRi6f	192.168.10.51	43747	23.194.180.207	443	possible_split_routing	-	F	zeek	-
1499170114.714038	Cy0mBE3VLpmKDNDA69	192.168.10.14	49678	104.88.7.7	443	possible_split_routing	-	F	zeek	-
1499170127.947754	CH9K5SGpNlb3w9au9	192.168.10.8	49192	192.168.10.3	49671	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499170137.339405	COuMvg3OKVr3OBwJA4	192.168.10.51	57512	208.84.244.40	443	possible_split_routing	-	F	zeek	-
1499170137.376568	C7Lfz8IcPv2670ZIi	192.168.10.3	64352	65.55.44.109	443	bad_TCP_checksum	-	F	zeek	TCP
1499170173.400675	C1O7AuEYf60OzGPPl	192.168.10.51	44136	212.48.7.146	80	inflate_failed	-	F	zeek	ZIP
1499170174.574683	CMWSKAl26k1lzK6Q4	192.168.10.12	33738	104.27.145.213	80	inflate_failed	-	F	zeek	ZIP
1499170188.521280	CmliE62RhA2rp7UiOl	192.168.10.14	49706	104.88.48.213	80	inflate_failed	-	F	zeek	ZIP
1499170188.608401	C6wLtE44TEZ0UpI7D7	192.168.10.14	49709	104.88.48.213	80	inflate_failed	-	F	zeek	ZIP
1499170188.842861	C8GI6rEo1kmPUVzE6	192.168.10.14	49712	23.66.191.194	80	inflate_failed	-	F	zeek	ZIP
1499170188.929590	CA3aH93ANE7OrSOmTb	192.168.10.14	49714	104.88.4.88	80	inflate_failed	-	F	zeek	ZIP
1499170188.932540	C4AXB64yUStzYSbsUd	192.168.10.14	49707	104.88.48.213	80	inflate_failed	-	F	zeek	ZIP
1499170188.948477	C0oTck40UUDIbb7Wv5	192.168.10.14	49711	104.88.48.213	80	inflate_failed	-	F	zeek	ZIP
1499170188.984571	CoZ3yjOnJCZlLIkH1	192.168.10.14	49716	172.217.3.106	80	inflate_failed	-	F	zeek	ZIP
1499170189.160486	CwMNMo4JNhjylRiXtf	192.168.10.14	49721	23.194.181.73	80	inflate_failed	-	F	zeek	ZIP
1499170189.549804	CqLm3N2pnIKbaCvUt5	192.168.10.14	49725	23.66.191.194	80	inflate_failed	-	F	zeek	ZIP
1499170189.702563	C0VZNsn7UcLGQoB18	192.168.10.14	49726	184.28.197.240	80	inflate_failed	-	F	zeek	ZIP
1499170189.706971	C7HySYxvkDraWDL9e	192.168.10.14	49729	108.168.172.162	80	inflate_failed	-	F	zeek	ZIP
1499170190.216786	CQBio91pLzJwp2KPgi	192.168.10.14	49731	23.8.100.19	80	inflate_failed	-	F	zeek	ZIP
1499170190.228702	Cnu2T56e1bw5B3gw2	192.168.10.14	49722	23.194.181.73	80	inflate_failed	-	F	zeek	ZIP
1499170190.912425	CC10JR2pI9tFXps8dg	192.168.10.14	49739	151.101.44.175	80	inflate_failed	-	F	zeek	ZIP
1499170190.966823	C5Wgycp3q4f1TvXyk	192.168.10.14	49755	138.108.7.20	80	possible_split_routing	-	F	zeek	-
1499170191.013913	CPadnW3FMHREtFsu41	192.168.10.14	49752	151.101.22.2	80	inflate_failed	-	F	zeek	ZIP
1499170194.997646	CZ1plf3vONIjSpK5Nl	192.168.10.14	49797	93.184.216.180	80	inflate_failed	-	F	zeek	ZIP
1499170195.082419	CosCEASELTAdO9Xw8	192.168.10.14	49810	216.58.219.194	80	inflate_failed	-	F	zeek	ZIP
1499170195.530124	Ct5GDB3aqJy8vqHuo5	192.168.10.14	49827	23.203.29.205	80	inflate_failed	-	F	zeek	ZIP
1499170195.900271	C3WcsgToz8kGeizt7	192.168.10.14	49761	54.192.36.89	80	inflate_failed	-	F	zeek	ZIP
1499170198.033499	CCnYxc3Wdl8yeQmj3a	192.168.10.14	49885	209.48.71.138	80	inflate_failed	-	F	zeek	ZIP
1499170198.614004	CoeHHb2H06fYHtpxNh	192.168.10.14	49898	23.50.75.27	80	possible_split_routing	-	F	zeek	-
1499170198.947923	Cs3Gin2ocaAtJznC4d	192.168.10.14	49912	104.20.15.243	80	possible_split_routing	-	F	zeek	-
1499170198.970994	Cs3Gin2ocaAtJznC4d	192.168.10.14	49912	104.20.15.243	80	inflate_failed	-	F	zeek	ZIP
1499170199.431411	CNUwpb1VhnWYHSzi6h	192.168.10.14	49920	209.48.71.120	80	inflate_failed	-	F	zeek	ZIP
1499170200.769683	CXOLBa4ujbTxZLf6W8	192.168.10.14	49946	72.21.206.140	80	possible_split_routing	-	F	zeek	-
1499170209.085309	CfMbZaYiB51weNqT	192.168.10.14	49910	72.21.202.62	80	window_recision	-	F	zeek	-
1499170209.745130	CRn6Ds3MlYYwDvGZMe	192.168.10.14	49925	52.94.233.131	80	window_recision	-	F	zeek	-
1499170247.450245	CvVm342XoiwkHMBw26	192.168.10.25	49195	172.217.12.206	80	inflate_failed	-	F	zeek	ZIP
1499170250.726131	CcSwXl48qHoxExz2vd	192.168.10.16	36074	23.50.75.27	80	possible_split_routing	-	F	zeek	-
1499170251.713666	CReVgp4vxwc0CW5MJd	192.168.10.16	52064	104.16.25.216	80	possible_split_routing	-	F	zeek	-
1499170252.469559	COvclhqd5wjVxeqeg	192.168.10.16	36440	8.18.45.65	443	window_recision	-	F	zeek	-
1499170253.575541	C3XPrU3MuOxfUmPlGb	192.168.10.16	40526	152.163.13.6	443	window_recision	-	F	zeek	-
1499170257.943471	C1UcQ617aLbG0vMosb	192.168.10.16	53712	152.163.56.2	443	window_recision	-	F	zeek	-
1499170258.903955	Ck3kO349DMfdNa0hsg	192.168.10.16	57206	136.179.236.67	443	window_recision	-	F	zeek	-
1499170265.355574	CIlDtB32tLb6CGypc2	192.168.10.16	42190	162.248.16.28	443	window_recision	-	F	zeek	-
1499170265.505101	CrGrB1GabakCEve74	192.168.10.16	58440	64.12.245.38	443	window_recision	-	F	zeek	-
1499170269.275714	CcREjkH0Q2XMduea7	192.168.10.16	36538	50.18.61.120	443	possible_split_routing	-	F	zeek	-
1499170270.053811	CM25SE1g1ZMQZZkKE3	192.168.10.8	49256	72.21.91.70	443	possible_split_routing	-	F	zeek	-
1499170273.661154	Cfvi114Mpm6ZkI6Dj7	192.168.10.16	54230	207.171.14.249	443	window_recision	-	F	zeek	-
1499170307.303400	CQCUnf3PkI1pmcH42l	192.168.10.9	1719	118.163.124.247	80	possible_split_routing	-	F	zeek	-
1499170307.521249	C064Pz1isHvDU5B7vh	192.168.10.9	1717	125.227.128.31	80	inflate_failed	-	F	zeek	ZIP
1499170307.535602	CFBGWl33Q8i9h32fm2	192.168.10.9	1718	118.163.124.247	80	inflate_failed	-	F	zeek	ZIP
1499170307.560130	CRNxb18jL7NdTFYxc	192.168.10.9	1716	125.227.128.31	80	inflate_failed	-	F	zeek	ZIP
1499170308.409003	CSfl6o4UsNXzoslK12	192.168.10.9	1758	125.227.128.31	80	inflate_failed	-	F	zeek	ZIP
1499170308.424104	CswqEv3qTgC8NzC841	192.168.10.9	1763	125.227.128.31	80	inflate_failed	-	F	zeek	ZIP
1499170308.620299	CJj6xq3TKkycuAHYGd	192.168.10.9	1761	125.227.128.31	80	inflate_failed	-	F	zeek	ZIP
1499170308.665005	CQ1JvWyOhTLRSmWC9	192.168.10.9	1759	125.227.128.31	80	inflate_failed	-	F	zeek	ZIP
1499170308.880819	C4pXe73VM4eQvMiwAj	192.168.10.9	1760	125.227.128.31	80	inflate_failed	-	F	zeek	ZIP
1499170320.562792	CJN1ussvkB2l7Hqy5	192.168.10.5	49304	210.225.201.223	443	window_recision	-	F	zeek	-
1499170321.294697	Cpa6Gr40gu72Adubqh	192.168.10.16	52778	52.84.145.177	443	possible_split_routing	-	F	zeek	-
1499170326.085905	CCWHSe3Dpy0k57U2e6	192.168.10.5	49375	64.12.235.115	443	window_recision	-	F	zeek	-
1499170329.216920	CsSvVL3VfSYOimbtre	192.168.10.5	49443	152.163.56.2	443	window_recision	-	F	zeek	-
1499170329.988567	CwnYYq1CrIVwKx0hnh	192.168.10.5	49401	149.174.66.131	443	window_recision	-	F	zeek	-
1499170331.886726	Cnv2tD3jaANJYUGN45	192.168.10.5	49319	210.225.201.222	443	window_recision	-	F	zeek	-
1499170337.895862	CDWYUw16Lnj4rkJge4	192.168.10.5	49402	149.174.66.131	443	window_recision	-	F	zeek	-
1499170341.108637	ChVQbi4J9a9LbsLZql	192.168.10.5	49476	152.163.50.2	443	window_recision	-	F	zeek	-
1499170344.452513	CMGAvc4NUT5xhVMYhg	192.168.10.5	49510	149.174.66.131	443	window_recision	-	F	zeek	-
1499170344.840378	CYTlBb3hMFuASZiDO7	192.168.10.5	49518	149.174.66.131	443	window_recision	-	F	zeek	-
1499170356.691625	Cau09G4WR4nI4fH3K4	192.168.10.15	49421	192.168.10.3	49671	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499170360.191873	CBOrve4rza1ELRojvc	192.168.10.15	61230	192.168.10.3	53	DNS_unknown_opcode	5	F	zeek	DNS
1499170360.196100	CX48ZqMKCvKvijAkc	192.168.10.15	50454	192.168.10.3	53	DNS_unknown_opcode	5	F	zeek	DNS
1499170451.675864	Ch63B62POZkmE0w2Gd	192.168.10.51	56882	219.139.164.236	443	window_recision	-	F	zeek	-
1499170451.696388	CRxT1W2ndaMCvA6WUb	192.168.10.51	56878	219.139.164.236	443	window_recision	-	F	zeek	-
1499170532.320458	CCy8vT1lnwpJYz0I4l	192.168.10.8	49305	199.96.57.6	80	inflate_failed	-	F	zeek	ZIP
1499170532.367408	CM3GzXPOwkFMmQF26	192.168.10.8	49288	46.229.145.50	80	inflate_failed	-	F	zeek	ZIP
1499170532.371888	CLbiX522veVCUARUTh	192.168.10.8	49292	46.229.145.10	80	inflate_failed	-	F	zeek	ZIP
1499170532.402626	CZy2l8xohcOV6m2ce	192.168.10.8	49295	46.229.145.10	80	inflate_failed	-	F	zeek	ZIP
1499170532.494542	CbnVNeQHlnJyuA2U4	192.168.10.8	49300	46.229.145.10	80	inflate_failed	-	F	zeek	ZIP
1499170532.496147	CWAwCT28vpvVb0zBM1	192.168.10.8	49304	46.229.145.10	80	inflate_failed	-	F	zeek	ZIP
1499170532.678845	CfVhVV2luv4MPnPL81	192.168.10.8	49307	46.229.145.48	80	inflate_failed	-	F	zeek	ZIP
1499170533.323048	CN2LAN3FDXqgsYxERl	192.168.10.8	49310	46.229.145.10	80	inflate_failed	-	F	zeek	ZIP
1499170533.449121	CtvFnk1X55Cg5ssP9j	192.168.10.8	49326	188.64.85.84	443	possible_split_routing	-	F	zeek	-
1499170533.645562	C3O7Lm2ga0AJawUuUg	192.168.10.8	49355	23.50.75.27	80	possible_split_routing	-	F	zeek	-
1499170533.729333	CEIXh42c08LexigzRh	192.168.10.8	49353	188.64.84.15	443	possible_split_routing	-	F	zeek	-
1499170536.445710	CySVPJ1mW2xA2mnsUb	192.168.10.8	49387	46.229.145.10	80	possible_split_routing	-	F	zeek	-
1499170536.451662	CjMHaj1AeVVUeITJOb	192.168.10.8	49392	136.243.13.5	443	possible_split_routing	-	F	zeek	-
1499170537.092504	CkbWCj2h4aHg6t4G6	192.168.10.8	49372	46.229.145.48	80	inflate_failed	-	F	zeek	ZIP
1499170538.354367	CxbQkp4Ulk7NuKQPVj	192.168.10.8	49426	172.217.7.2	80	inflate_failed	-	F	zeek	ZIP
1499170539.926076	CGIVr33sh31t744qJf	192.168.10.8	49458	46.229.145.50	80	possible_split_routing	-	F	zeek	-
1499170540.023038	CFJNsj3agcBzy5OLV7	192.168.10.8	49453	46.229.145.50	80	inflate_failed	-	F	zeek	ZIP
1499170540.057127	CGIVr33sh31t744qJf	192.168.10.8	49458	46.229.145.50	80	inflate_failed	-	F	zeek	ZIP
1499170540.375105	C5be72W3jPgD5h9Ql	192.168.10.8	49469	165.254.40.80	80	inflate_failed	-	F	zeek	ZIP
1499170540.903475	C4JIXx2IR6KSMNF4R	192.168.10.8	49491	205.185.216.10	80	inflate_failed	-	F	zeek	ZIP
1499170542.320328	CxQ8AN1vsDWDJVByY2	192.168.10.8	49542	35.185.42.220	443	possible_split_routing	-	F	zeek	-
1499170542.320554	CJSLWg4SrRGk3Rzkqb	192.168.10.8	49541	35.185.42.220	80	possible_split_routing	-	F	zeek	-
1499170542.625860	CM6tp41mU5PksqIiAf	192.168.10.8	49557	72.167.239.239	80	possible_split_routing	-	F	zeek	-
1499170542.712372	CM6tp41mU5PksqIiAf	192.168.10.8	49557	72.167.239.239	80	window_recision	-	F	zeek	-
1499170544.171213	CafdkD1tebcmUi8WQ3	192.168.10.8	49609	199.96.57.6	80	inflate_failed	-	F	zeek	ZIP
1499170550.107368	Cg6z0S3tAMNI2iiQx2	192.168.10.8	49673	192.243.54.160	80	inflate_failed	-	F	zeek	ZIP
1499170551.017982	CQNQUP3FkJZUCACOZ	192.168.10.8	49683	52.1.125.147	80	possible_split_routing	-	F	zeek	-
1499170553.997518	CN0DhG13ky5suBBvcg	192.168.10.8	49733	94.31.29.250	80	inflate_failed	-	F	zeek	ZIP
1499170554.018713	CKOPYS15XG0DDtqqr	192.168.10.8	49732	94.31.29.250	80	inflate_failed	-	F	zeek	ZIP
1499170554.710019	CeIP4x3rl8r2UzDXP6	192.168.10.8	49757	162.208.20.178	80	possible_split_routing	-	F	zeek	-
1499170555.509449	CMtIs35peMgfPVug3	192.168.10.8	49776	162.208.20.178	80	possible_split_routing	-	F	zeek	-
1499170557.253904	CUaYnJcmmXMt1sbEc	192.168.10.8	49814	52.84.64.105	80	inflate_failed	-	F	zeek	ZIP
1499170557.257044	CNBUeV2QgpHsgJwCHl	192.168.10.8	49816	52.84.64.105	80	inflate_failed	-	F	zeek	ZIP
1499170557.258726	CScXBZY6Er2QhNZdh	192.168.10.8	49815	52.84.64.105	80	inflate_failed	-	F	zeek	ZIP
1499170557.261751	CditSI1S5qjxXE5QDj	192.168.10.8	49813	52.84.64.105	80	inflate_failed	-	F	zeek	ZIP
1499170558.039925	CdSQTo3UBZNv0I6wZ4	192.168.10.8	49819	52.5.156.65	80	inflate_failed	-	F	zeek	ZIP
1499170558.061970	Co4Rq22DTG0wkupsY8	192.168.10.8	49823	52.5.156.65	80	inflate_failed	-	F	zeek	ZIP
1499170558.064903	Cbtnyl418JSKyK84g	192.168.10.8	49822	52.5.156.65	80	inflate_failed	-	F	zeek	ZIP
1499170561.372827	CMcrud4vk8qdNonnLb	192.168.10.8	49697	64.12.245.38	443	window_recision	-	F	zeek	-
1499170564.083514	CdPWYW1oEgec4ZdD36	192.168.10.8	49899	169.45.253.37	80	possible_split_routing	-	F	zeek	-
1499170564.090468	CKjI4n2Rb28OzCNIa9	192.168.10.8	49894	162.208.20.178	80	possible_split_routing	-	F	zeek	-
1499170569.995612	CmC70g1xiItw0wthoh	192.168.10.8	49941	162.208.20.178	80	possible_split_routing	-	F	zeek	-
1499170576.716744	CycEDF2xDRpWbk05Od	192.168.10.8	50018	162.208.20.178	80	possible_split_routing	-	F	zeek	-
1499170576.754390	CkjsfZ2nQoORabcX13	192.168.10.8	50019	162.208.20.178	80	possible_split_routing	-	F	zeek	-
1499170581.324406	Cd8bUWnsgISl8WtVf	192.168.10.8	50091	204.13.193.176	80	possible_split_routing	-	F	zeek	-
1499170581.582745	CXSujqKzHWcYzsz93	192.168.10.8	50106	151.101.129.108	80	inflate_failed	-	F	zeek	ZIP
1499170582.044559	CCa2lu49dDWuzwkVal	192.168.10.8	50125	50.63.243.230	80	possible_split_routing	-	F	zeek	-
1499170593.068625	C3FTZL1anMCuuknAOd	192.168.10.17	53092	8.18.45.65	443	window_recision	-	F	zeek	-
1499170635.330544	CIpyVRJSy8H6i8VIh	192.168.10.9	2108	192.82.242.50	443	window_recision	-	F	zeek	-
1499170635.658134	CmoTsh11TWq94TS2W5	192.168.10.9	2109	162.248.16.28	443	window_recision	-	F	zeek	-
1499170645.074956	C1GX5O2UPpJfMOlImj	192.168.10.9	2097	162.248.16.50	443	window_recision	-	F	zeek	-
1499170651.820284	CXsuSi1HNPgkSNJpj2	192.168.10.14	50096	104.244.46.7	443	possible_split_routing	-	F	zeek	-
1499170665.400896	CRmEvz1EAScQp2JlR5	192.168.10.9	2130	152.163.56.2	443	window_recision	-	F	zeek	-
1499170665.704200	CD1ckR3ZkTsqKPwR9c	192.168.10.9	2141	192.82.242.50	443	window_recision	-	F	zeek	-
1499170670.524834	CjICQj3myey8dTJum1	192.168.10.14	50114	192.168.10.3	49666	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499170675.934674	C45b1C2CabqIt7Fvm2	192.168.10.9	2134	152.163.13.4	443	window_recision	-	F	zeek	-
1499170695.737054	CLjWVE17Jk2bawgc9a	192.168.10.9	2166	192.82.242.50	443	window_recision	-	F	zeek	-
1499170695.737328	COFHIa4eEeqYEMMFQk	192.168.10.9	2163	192.82.242.50	443	window_recision	-	F	zeek	-
1499170696.276410	C7X3dv2Q6QVCPVPAGj	192.168.10.9	2174	192.82.242.50	443	window_recision	-	F	zeek	-
1499170710.570365	Cs1fOe3FI3H6xrBkG	192.168.10.16	58176	192.0.79.33	80	inflate_failed	-	F	zeek	ZIP
1499170710.931112	CZlkGt3al8A9ChZOp4	192.168.10.16	35854	172.217.10.228	80	inflate_failed	-	F	zeek	ZIP
1499170711.068236	CfuPUW1Fy3LetPMl3d	192.168.10.16	36120	192.229.210.12	80	inflate_failed	-	F	zeek	ZIP
1499170711.068987	C2pZen4e9YC7Di1wv4	192.168.10.16	36118	192.229.210.12	80	inflate_failed	-	F	zeek	ZIP
1499170711.887445	CZEtsh2AeRl7Rlami	192.168.10.16	33640	52.84.145.166	80	inflate_failed	-	F	zeek	ZIP
1499170712.528932	CGeC9Z18Pu4PRVOLsi	192.168.10.16	41804	93.184.216.180	80	inflate_failed	-	F	zeek	ZIP
1499170713.247368	CCXIzH27pFb19kLubl	192.168.10.51	47085	173.223.153.156	80	inflate_failed	-	F	zeek	ZIP
1499170713.746731	CRKrWx2S9AVqqE44jl	192.168.10.51	35335	184.84.243.215	80	inflate_failed	-	F	zeek	ZIP
1499170713.749543	CBLFKY2wgT0veWy0zj	192.168.10.51	35336	184.84.243.215	80	inflate_failed	-	F	zeek	ZIP
1499170713.754636	C5TVvm1vp9uOCAimB9	192.168.10.51	35338	184.84.243.215	80	inflate_failed	-	F	zeek	ZIP
1499170713.857795	Cd25NnFIRgWvcipJe	192.168.10.51	56505	104.20.58.245	80	inflate_failed	-	F	zeek	ZIP
1499170713.910887	CYVrp84noHv5WzBMN6	192.168.10.51	35340	184.84.243.215	80	inflate_failed	-	F	zeek	ZIP
1499170713.911167	CkYX7t4NxSGh3ip1Vb	192.168.10.51	49492	151.101.1.108	80	possible_split_routing	-	F	zeek	-
1499170713.932909	CkYX7t4NxSGh3ip1Vb	192.168.10.51	49492	151.101.1.108	80	inflate_failed	-	F	zeek	ZIP
1499170715.553388	Cz5ndLMcsgdHv9s72	192.168.10.16	50400	54.87.24.43	80	possible_split_routing	-	F	zeek	-
1499170716.171863	Cy8erd4TLinrV3Eka	192.168.10.16	54142	94.31.29.250	80	inflate_failed	-	F	zeek	ZIP
1499170717.037395	CeUVIkFB6VNQspy0f	192.168.10.51	51429	172.217.11.46	443	possible_split_routing	-	F	zeek	-
1499170717.986761	C8fpai4z8W8Auyf2a3	192.168.10.51	38456	68.67.180.12	80	inflate_failed	-	F	zeek	ZIP
1499170718.101723	C5DUHY32Zg4cI309q9	192.168.10.16	59776	23.202.234.126	80	inflate_failed	-	F	zeek	ZIP
